#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,4.0958248,5.43e-06,0,4
0,4.0985626,5.43e-06,0,4
0,4.1040383,.0000108,0,4
0,4.1341547,5.39e-06,0,4
0,4.1368925,5.38e-06,0,4
0,4.1423682,0,5.97e-06,4
0,4.1451061,5.38e-06,0,4
0,4.1752225,5.35e-06,0,4
0,4.1779603,5.34e-06,0,4
0,4.183436,5.34e-06,0,4
0,4.1861739,5.33e-06,0,4
0,4.1889117,5.33e-06,0,4
0,4.1916496,5.32e-06,5.90e-06,4
0,4.1943874,5.32e-06,0,4
0,4.2162902,.0000106,0,4
0,4.2217659,0,.0000117,4
0,4.2299795,5.27e-06,0,4
0,4.2409309,5.26e-06,0,4
0,4.2546201,5.24e-06,0,4
0,4.2655715,5.23e-06,0,4
0,4.2956879,5.21e-06,0,4
0,4.3039014,0,5.76e-06,4
0,4.3093771,0,5.76e-06,4
0,4.3258042,5.19e-06,0,4
0,4.347707,5.17e-06,0,4
0,4.3613963,5.35e-06,0,4
0,4.3696099,5.34e-06,0,4
0,4.3750856,5.34e-06,0,4
0,4.3887748,5.33e-06,0,4
0,4.4052019,5.32e-06,0,4
0,4.4079398,5.32e-06,0,4
0,4.4134155,5.32e-06,0,4
0,4.4161533,5.32e-06,0,4
0,4.4572211,5.29e-06,0,4
0,4.4626968,0,5.86e-06,4
0,4.4709103,5.28e-06,0,4
0,4.4818617,5.28e-06,0,4
0,4.5147159,0,5.83e-06,4
0,4.5174538,5.26e-06,0,4
0,4.5229295,0,5.81e-06,4
0,4.5420945,0,5.79e-06,4
0,4.5475702,5.23e-06,0,4
0,4.5585216,5.22e-06,0,4
0,4.5667351,5.22e-06,0,4
0,4.5831622,5.21e-06,0,4
0,4.5859001,5.21e-06,0,4
0,4.6023272,0,5.75e-06,4
0,4.605065,5.20e-06,0,4
0,4.6406571,5.18e-06,0,4
0,4.659822,0,5.71e-06,4
0,4.6625599,5.17e-06,0,4
0,4.6954141,5.16e-06,0,4
0,4.7036277,5.15e-06,0,4
0,4.7173169,5.14e-06,0,4
0,4.7200548,5.14e-06,0,4
0,4.7255305,5.13e-06,0,4
0,4.733744,0,5.65e-06,4
0,4.7446954,5.12e-06,0,4
0,4.7474333,5.11e-06,0,4
0,4.7611225,5.11e-06,0,4
0,4.7638604,5.10e-06,0,4
0,4.7912389,5.09e-06,0,4
0,4.8295688,5.07e-06,0,4
0,4.8323066,0,5.58e-06,4
0,4.8596851,5.05e-06,0,4
0,4.8651608,5.05e-06,0,4
0,4.8706366,5.05e-06,0,4
0,4.8843258,5.04e-06,0,4
0,4.8870637,5.04e-06,0,4
0,4.9062286,0,5.53e-06,4
0,4.9226557,5.01e-06,0,4
0,4.9664613,4.96e-06,0,4
0,4.9774127,.0000248,0,4
0,4.9801506,4.96e-06,0,4
0,4.9883641,4.96e-06,5.45e-06,4
0,4.9993155,4.96e-06,0,4
0,5.0184805,0,5.45e-06,5
0,5.0212183,0,5.45e-06,5
0,5.0239562,4.83e-06,0,5
0,5.0431211,4.82e-06,0,5
0,5.045859,4.82e-06,0,5
0,5.0485969,4.81e-06,0,5
0,5.0595483,4.81e-06,0,5
0,5.0759754,4.80e-06,0,5
0,5.0814511,0,.0000105,5
0,5.0841889,4.80e-06,5.27e-06,5
0,5.0869268,4.79e-06,0,5
0,5.0896646,0,5.26e-06,5
0,5.1115674,4.76e-06,0,5
0,5.119781,9.51e-06,0,5
0,5.1279945,9.50e-06,0,5
0,5.1444216,0,5.21e-06,5
0,5.155373,4.74e-06,0,5
0,5.1608487,0,5.19e-06,5
0,5.1635866,4.73e-06,0,5
0,5.1690623,4.73e-06,0,5
0,5.1772758,0,5.19e-06,5
0,5.1827515,0,5.18e-06,5
